0, 306678, 1, 512
0, 251767, 1, 512
0, 252321, 1, 512
1, 245511, 1, 512
1, 243260, 1, 512
1, 296860, 1, 512
2, 245376, 1, 512
2, 244250, 1, 512
2, 241434, 1, 512
2, 245303, 1, 512
3, 289605, 1, 512
3, 245285, 1, 512
3, 252852, 1, 512
3, 243821, 1, 512
4, 244992, 1, 512
4, 242381, 1, 512
4, 246778, 1, 512
4, 241585, 1, 512
5, 245524, 1, 512
5, 243048, 1, 512
5, 246438, 1, 512
5, 265350, 1, 512
6, 242624, 1, 512
6, 244654, 1, 512
6, 244158, 1, 512
6, 265089, 1, 512
7, 244433, 1, 512
7, 245402, 1, 512
7, 241760, 1, 512
7, 246581, 1, 512
8, 240686, 1, 512
8, 242391, 1, 512
8, 241872, 1, 512
8, 243906, 1, 512
9, 245370, 1, 512
9, 241170, 1, 512
9, 245807, 1, 512
9, 254671, 1, 512
10, 249454, 1, 512
10, 242296, 1, 512
10, 244270, 1, 512
10, 263266, 1, 512
11, 243226, 1, 512
11, 247528, 1, 512
11, 243956, 1, 512
11, 243330, 1, 512
12, 242945, 1, 512
12, 246091, 1, 512
12, 246956, 1, 512
12, 245349, 1, 512
13, 244755, 1, 512
13, 246941, 1, 512
13, 244516, 1, 512
13, 284021, 1, 512
14, 220511, 1, 512
14, 107576, 1, 512
14, 102419, 1, 512
14, 102301, 1, 512
14, 103478, 1, 512
14, 101523, 1, 512
14, 104162, 1, 512
14, 112593, 1, 512
14, 103596, 1, 512
15, 104984, 1, 512
15, 103426, 1, 512
15, 104564, 1, 512
15, 102844, 1, 512
15, 106451, 1, 512
15, 102646, 1, 512
15, 103973, 1, 512
15, 104038, 1, 512
15, 102423, 1, 512
16, 105083, 1, 512
16, 110495, 1, 512
16, 102985, 1, 512
16, 105290, 1, 512
16, 105201, 1, 512
16, 105590, 1, 512
16, 104338, 1, 512
16, 104321, 1, 512
16, 104259, 1, 512
17, 103588, 1, 512
17, 107711, 1, 512
17, 104597, 1, 512
17, 104933, 1, 512
17, 104723, 1, 512
17, 106561, 1, 512
17, 122831, 1, 512
17, 105362, 1, 512
17, 107633, 1, 512
18, 103080, 1, 512
18, 105934, 1, 512
18, 104563, 1, 512
18, 108470, 1, 512
18, 107940, 1, 512
18, 102140, 1, 512
18, 106534, 1, 512
18, 103231, 1, 512
18, 117014, 1, 512
18, 108760, 1, 512
19, 106421, 1, 512
19, 105495, 1, 512
19, 109400, 1, 512
19, 105645, 1, 512
19, 106268, 1, 512
19, 102638, 1, 512
19, 105581, 1, 512
19, 105789, 1, 512
19, 105410, 1, 512
20, 109434, 1, 512
20, 106614, 1, 512
20, 110845, 1, 512
20, 105987, 1, 512
20, 111047, 1, 512
20, 108129, 1, 512
20, 104805, 1, 512
20, 109420, 1, 512
20, 108144, 1, 512
21, 109528, 1, 512
21, 106982, 1, 512
21, 111214, 1, 512
21, 107610, 1, 512
21, 104231, 1, 512
21, 108088, 1, 512
21, 118758, 1, 512
21, 109476, 1, 512
21, 108542, 1, 512
22, 109827, 1, 512
22, 109443, 1, 512
22, 108688, 1, 512
22, 110628, 1, 512
22, 110549, 1, 512
22, 105036, 1, 512
22, 105891, 1, 512
22, 103385, 1, 512
22, 127944, 1, 512
23, 107043, 1, 512
23, 102310, 1, 512
23, 106652, 1, 512
23, 110465, 1, 512
23, 108764, 1, 512
23, 102781, 1, 512
23, 105223, 1, 512
23, 106759, 1, 512
23, 103290, 1, 512
24, 106974, 1, 512
24, 102740, 1, 512
24, 110136, 1, 512
24, 103219, 1, 512
24, 102728, 1, 512
24, 106633, 1, 512
24, 103679, 1, 512
24, 104562, 1, 512
24, 105304, 1, 512
25, 102270, 1, 512
25, 104757, 1, 512
25, 102150, 1, 512
25, 105431, 1, 512
25, 105392, 1, 512
25, 103883, 1, 512
